id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
74235036,Điều Kỳ Diệu của Thái Độ Sống (Tái Bản),Mac Anderson,39100,39100,Sách tiếng Việt,,0,0,144.00,Nhà Xuất Bản Tổng hợp TP.HCM
12081419,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 23 (Tái Bản),Fujiko F Fujio,22000,20900,Sách tiếng Việt,431,5,39,192.00,Nhà Xuất Bản Kim Đồng
14683083,Nhượng Quyền Khỏi Nghiệp - Con Đường Ngắn Để Bước Ra Thế Giới (Tái Bản),Nguyễn Phi Vân,160000,160000,Sách tiếng Việt,296,4.7,22,436.00,
157054867,Tôi Muốn Giỏi Tiếng Anh Nhưng Tôi Không Muốn Chăm Chỉ,Moon Duk,210000,136500,Nhà Sách Tiki,668,5,104,264.00,Nhà Xuất Bản Công Thương
997535,Gọi Em Bằng Tên Anh - Call Me By Your Name,André Aciman,115000,92600,Tiểu Thuyết Phương Tây,9020,4.8,809,316.00,NXB Trẻ
70540568,Nuôi Dạy Bé Gái Từ 0 Đến 6 Tuổi (Tái Bản 2020),Erika Takeuchi,75000,49500,Nhà Sách Tiki,1750,5,209,236.00,Nhà Xuất Bản Lao Động
168559528,Chiêm Tinh Học For Dummies,Rae Orion,249000,162000,Chiêm Tinh Học,295,4.7,45,528.00,Nhà Xuất Bản Thế Giới
16422526,365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Tình Cảm EQ (Tái Bản),Ngọc Linh,78000,56940,Truyện kể cho bé,1363,4.7,194,224.00,Nhà Xuất Bản Thế Giới
187058656,"Bộ Luật Hình Sự (Hiện Hành) (Bộ Luật Năm 2015, Sửa Đổi, Bổ Sung Năm 2017) - Tái bản năm 2022",Nhiều tác giả,110000,110000,Luật Hình sự,318,5,34,496.00,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật
593709,Góc Khuất Đàn Bà,Huyền Trang Bất Hối,89000,73900,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,117,5,12,,
77323488,Chatter - Trò Chuyện Với Chính Mình,Ethan Kross,199000,128000,Sách tư duy - Kỹ năng sống,1820,5,245,328.00,Nhà Xuất Bản Văn Hóa Văn Nghệ
19274771,Chuỗi Án Mạng A.B.C (Tái Bản),Agatha Christie,105000,77900,Sách tiếng Việt,3528,5,632,300.00,NXB Trẻ
173515430,Khám Phá Vận Mệnh - 7 Bước Đánh Thức Bản Thân,Robin Sharma,145000,109000,Sách kỹ năng làm việc,562,5,37,320.00,NXB Trẻ
273119845,Ông Trùm Cuối Cùng (Mario Puzo),Mario Puzo,150000,105000,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,3560,4.8,345,648.00,Nhà Xuất Bản Văn Học
173973552,Sách Từ Vựng Tiếng Anh : Từ Cùng Trường Nghĩa Trong Tiếng Anh Cô Trang Anh,Trang Anh,200000,149000,Từ Vựng Tiếng Anh,308,4.8,56,500.00,Nhà Xuất Bản Hà Nội
146502516,[Hàng Cao Cấp Loại Dày 2mm] Băng Dính 2 Mặt Đa Năng Trong Suốt Siêu Dày 2mm – Chọn Chiều Dài – Siêu Bám Dính - Băng Keo Trong Suốt Chính Hãng dododios,,40000,40000,Dụng Cụ Văn Phòng,630,4.7,102,,
109982974,Alfred Nobel Và Bản Di Chúc Bất Hủ,Rasmus Hoài Nam,65000,45500,Root,241,4.8,37,184.00,Nhà Xuất Bản Thanh Niên
